"","ID","Scanner","Layer","Raw_material","Class","Blank","Technology","Cortex","Preservation","Volume","Surface","Length","Width","Thickness","Core_classification","Site"
"441","Ca_450","Artec.Spider","AU11","Chert","Blank","Blade","Maintenance","66-99%","Complete",8172.747559,3324.978466,63,28.70000076,13.5,NA,"Cala"
"442","Ca_451","Artec.Spider","AU13","Jasper","Blank","Blade","Maintenance","1-33%","Complete",1980.639038,1656.751249,52.90000153,14.89999962,4.300000191,NA,"Cala"
"443","Ca_452","Artec.Spider","AU13","Jasper","Blank","Flake","Optimal","0%","Complete",3203.574951,1758.175428,42.40000153,23,8,NA,"Cala"
"444","Ca_453","Artec.Spider","AU12","Jasper","Tool","Blade","Optimal","0%","Complete",1405.624634,1349.626833,42.59999847,19.5,4.099999905,NA,"Cala"
"445","Ca_458","Artec.Spider","AU11","Quartzite","Tool","Blade","Initialization","66-99%","Distal",2844.022217,1641.610344,37.70000076,23.70000076,6.699999809,NA,"Cala"
"446","Ca_464","Artec.Spider","AU13","Chert","Core","Flake","Semi-cortical","33-66%","Complete",16578.0957,4189.11346,24,40,43.40000153,"Multidirectional","Cala"
"447","Ca_466","Artec.Spider","AU13","Chert","Core","Flake","Semi-cortical","33-66%","Complete",86567.02344,13320.95226,96.59999847,63.79999924,37,"Multidirectional","Cala"
"448","Ca_467","Artec.Spider","AU12","Quartzite","Blank","Flake","Maintenance","0%","Complete",4415.00293,2283.615361,45.59999847,41.20000076,10.60000038,NA,"Cala"
"449","Ca_469","Artec.Spider","AU11","Quartzite","Blank","Flake","Maintenance","1-33%","Complete",2825.927979,1893.226851,45.09999847,22.70000076,5.800000191,NA,"Cala"
"450","Ca_470","Artec.Spider","AU13","Jasper","Blank","Blade","Optimal","0%","Complete",1999.907837,1635.935372,49.29999924,17.29999924,6.400000095,NA,"Cala"
"451","Ca_472","Artec.Spider","AU13","Jasper","Tool","Blade","Optimal","0%","Proximal",2230.5271,1683.538497,43.09999847,21.70000076,5.400000095,NA,"Cala"
"452","Ca_473","Artec.Spider","AU13","Jasper","Blank","Blade","Optimal","0%","Complete",1270.707275,1117.747061,44,14.30000019,5.300000191,NA,"Cala"
"453","Ca_474","Artec.Spider","AU13","Chert","Blank","Bladelet","Maintenance","1-33%","Complete",438.852478,642.3263196,38,8,3.900000095,NA,"Cala"
"454","Ca_483","Artec.Spider","AU11","Siliceous limestone","Tool","Flake","Optimal","0%","Complete",4074.656494,1904.633758,34.20000076,26.5,9.199999809,NA,"Cala"
"455","Ca_485","Artec.Spider","AU11","Chert","Blank","Flake","Maintenance","0%","Complete",983.666687,792.7099565,26.10000038,16.60000038,7,NA,"Cala"
"456","Ca_487","Artec.Spider","AU11","Jasper","Tool","Flake","Semi-cortical","1-33%","Complete",3428.023193,1528.848237,24.79999924,28.79999924,9.399999619,NA,"Cala"
"457","Ca_489","Artec.Spider","AU11","Jasper","Tool","Flake","Optimal","0%","Complete",2749.303711,1633.346837,28.29999924,31.20000076,8.600000381,NA,"Cala"
"458","Ca_497","Artec.Spider","AU12","Jasper","Blank","Flake","Maintenance","0%","Complete",675.2906494,719.4665151,23.29999924,19.5,4.5,NA,"Cala"
"459","Ca_501","Artec.Spider","AU11","Chert","Core","Flake","Semi-cortical","33-66%","Undetermined",12327.87402,3957.265942,51,38.70000076,18.10000038,"Parallel","Cala"
"460","Ca_502","Artec.Spider","AU11","Jasper","Core-Tool","Flake","Semi-cortical","33-66%","Complete",4842.364746,1973.597122,16.70000076,31.20000076,30.60000038,"Carinated","Cala"
"461","Ca_503","Artec.Spider","AU12","Chert","Blank","Flake","Initialization","100%","Complete",3852.720947,1888.696762,44,21.39999962,8.199999809,NA,"Cala"
"462","Ca_505","Artec.Spider","AU11","Jasper","Tool","Flake","Initialization","66-99%","Complete",7355.334961,2621.112554,40.29999924,31.39999962,13.39999962,NA,"Cala"
"463","Ca_506","Artec.Spider","AU11","Chert","Blank","Flake","Optimal","0%","Complete",5138.83252,2439.591553,37.29999924,40.29999924,9.399999619,NA,"Cala"
"464","Ca_507","Artec.Spider","AU12","Siliceous limestone","Blank","Flake","Maintenance","0%","Complete",5217.312012,2300.338162,42.79999924,25.29999924,12.60000038,NA,"Cala"
"465","Ca_508","Artec.Spider","AU11","Jasper","Tool","Flake","Semi-cortical","33-66%","Distal",3739.63916,1578.451586,23.39999962,28.29999924,12.19999981,NA,"Cala"
"466","Ca_517","Artec.Spider","AU12","Jasper","Blank","Blade","Maintenance","0%","Proximal",673.2589722,765.6203406,29.39999962,12.39999962,4.599999905,NA,"Cala"
"467","Ca_518","Artec.Spider","AU12","Chert","Tool","Flake","Optimal","0%","Complete",1402.165771,892.3327728,22.5,20.70000076,8.5,NA,"Cala"
