ID,volume,surface,mesh
RF.b_1395,195.0749969,301.3492362,Yes
RF.b_1396,828.8069458,715.4076722,Yes
RF.b_1401,250.7778015,419.5069468,Yes
RF.b_1424,964.4237671,924.5401349,Yes
RF.b_1463,26.29324913,78.10425684,Yes
RF.b_1464,196.2397919,332.9178865,Yes
RF.b_1465,62.40808487,138.370573,Yes
RF.b_1466,181.6424713,307.3409724,Yes
RF.b_1467,750.9730225,1133.696204,Yes
RF.b_1490,226.6360779,399.750749,Yes
RF.b_1492,401.2994995,545.1310277,Yes
RF.b_1493,65.01209259,187.7716067,Yes
RF.b_1494,290.4089355,502.9605622,Yes
RF.b_15,4585.722168,2844.249332,Yes
RF.b_1510,223.2881775,315.5580206,Yes
RF.b_1517,84.85527802,190.8623288,Yes
RF.b_1521,126.3441772,208.5703545,Yes
RF.b_1522,399.114563,596.2193706,Yes
RF.b_1523,107.5215912,234.1461216,Yes
RF.b_1533,191.1199036,341.8504884,Yes
RF.b_1534,392.825592,510.8945503,Yes
RF.b_1537,168.0529175,270.4059403,Yes
RF.b_1538,206.5131531,389.4903497,Yes
RF.b_1539,64.71592712,160.1598468,Yes
RF.b_1543,191.4262695,308.001848,Yes
RF.b_1544,84.21753693,166.0755276,Yes
RF.b_1545,64.11791229,173.159339,Yes
RF.b_1547,359.6580505,526.5945013,Yes
RF.b_1548,275.4084778,410.3376051,Yes
RF.b_1549,404.8900757,602.9088167,Yes
RF.b_1550,91.90357208,194.4356388,Yes
RF.b_1551,120.3217621,268.1873427,Yes
RF.b_1552,456.7140503,623.849052,Yes
RF.b_1553,30.88651085,89.00977691,Yes
RF.b_1554,65.53401184,135.5902899,Yes
RF.b_1555,41.02185059,115.6379741,Yes
RF.b_1556,36.28462982,113.6299754,Yes
RF.b_1557,498.9239502,651.0390413,Yes
RF.b_1563,135.0310364,274.0215431,Yes
RF.b_1565,97.21878052,242.4726236,Yes
RF.b_1566,152.0944214,305.3231364,Yes
RF.b_1568,62.54245377,156.314314,Yes
RF.b_1572,165.6535492,354.5512922,Yes
RF.b_1573,325.6226501,468.4982891,Yes
RF.b_1574,188.3239288,352.11758,Yes
RF.b_1577,268.2374878,471.5114501,Yes
RF.b_1578,131.0354614,219.5986295,Yes
RF.b_1579,107.7190247,241.353143,Yes
RF.b_1580,395.6842957,571.7313404,Yes
RF.b_1581,741.0968018,896.2054282,Yes
RF.b_1582,173.8944092,369.947707,Yes
RF.b_1585,101.6691818,226.8386198,Yes
RF.b_1587,77.74888611,164.7379326,Yes
RF.b_1588,127.9799728,218.1180025,Yes
RF.b_1589,94.32967377,190.6261649,Yes
RF.b_1591,235.5205688,386.67094,Yes
RF.b_1592,64.46156311,162.7655588,Yes
RF.b_1593,107.2155609,244.3985355,Yes
RF.b_1594,128.7655792,269.6440843,Yes
RF.b_1595,188.6188202,323.5190254,Yes
RF.b_1596,167.4404449,263.8773561,Yes
RF.b_1597,475.9116516,633.2498814,Yes
RF.b_1598,128.4451141,261.5731676,Yes
RF.b_1600,93.00428772,167.960343,Yes
RF.b_1601,55.58057022,161.1657424,Yes
RF.b_1602,52.80767441,125.1673134,Yes
RF.b_1606,53.19872284,137.5275237,Yes
RF.b_1607,102.994133,221.872681,Yes
RF.b_1608,71.97197723,170.1710859,Yes
RF.b_1609,113.8282547,202.6192119,Yes
RF.b_1613,146.7003174,281.7366439,Yes
RF.b_1614,120.9533615,269.7119566,Yes
