ID,Scanner,Spit,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
Ca_132,Artec.Spider,AU10,Chert,Tool,Blade,Semi-cortical,33-66%,Distal,6586.142578,2981.852634,57.20000076,22.89999962,8.300000191,NA
Ca_133,Artec.Spider,AU10,Jasper,Core-Tool,Flake,Optimal,0%,Complete,6323.845215,2203.716338,19.10000038,22.60000038,39.5,Multi-platform
Ca_134,Artec.Spider,AU10,Chert,Tool,Flake,Optimal,0%,Distal,1844.430542,1041.2739,27.60000038,18.5,7.5,NA
Ca_135,Artec.Spider,AU10,Jasper,Tool,Flake,Optimal,0%,Complete,1197.379395,975.5692417,27.89999962,17.60000038,4.400000095,NA
Ca_136,Artec.Spider,AU10,Jasper,Core-Tool,Other,Other,0%,Other,2953.636475,1391.123345,19,20.60000038,28.79999924,Carinated
Ca_137,Artec.Spider,AU12,Chert,Core-Tool,Flake,Semi-cortical,33-66%,Complete,4055.880615,1612.136286,28.39999962,27.79999924,11.69999981,Carinated
Ca_138,Artec.Spider,AU12,Jasper,Core-Tool,Flake,Semi-cortical,1-33%,Complete,2772.689453,1428.007517,25.29999924,27.60000038,8.100000381,Carinated
Ca_139,Artec.Spider,AU12,Chert,Tool,Blade,Optimal,0%,Complete,1496.044189,1032.781413,32.70000076,16.29999924,5.699999809,NA
Ca_140,Artec.Spider,AU12,Chert,Tool,Flake,Optimal,0%,Distal,2452.010742,1426.764408,33.20000076,25.60000038,8.399999619,NA
Ca_141,Artec.Spider,AU12,Chert,Tool,Blade,Optimal,0%,Distal,2099.468506,1315.040113,29.5,22.5,6.699999809,NA
Ca_142,Artec.Spider,AU12,Chert,Core-Tool,Flake,Optimal,0%,Distal,4672.249023,1881.494037,32.29999924,26.39999962,11.10000038,Carinated
Ca_143,Artec.Spider,AU12,Chert,Tool,Flake,Semi-cortical,33-66%,Complete,2968.588867,1457.340517,28.60000038,26.70000076,9.899999619,NA
Ca_144,Artec.Spider,AU12,Chert,Core-Tool,Flake,Optimal,0%,Distal,2628.179199,1269.16057,17.70000076,29,11.80000019,Carinated
Ca_145,Artec.Spider,AU12,Chert,Tool,Flake,Initialization,66-99%,Complete,2542.831299,1351.01708,27.5,24.29999924,8.699999809,NA
Ca_146,Artec.Spider,AU12,Chert,Tool,Flake,Optimal,0%,Distal,3996.90625,1714.734314,24.79999924,29.70000076,11.80000019,NA
Ca_147,Artec.Spider,AU12,Chert,Core-Tool,Flake,Semi-cortical,1-33%,Complete,1798.378418,997.857473,18.29999924,23.20000076,10.60000038,Carinated
Ca_148,Artec.Spider,AU12,Chert,Core-Tool,Other,Other,33-66%,Other,4135.28418,1570.710658,16.60000038,20.70000076,16.20000076,Carinated
Ca_149,Artec.Spider,AU12,Jasper,Core-Tool,Flake,Semi-cortical,1-33%,Complete,7020.519043,2390.001488,18.20000076,30.39999962,33.79999924,Carinated
Ca_150,Artec.Spider,AU12,Chert,Tool,Flake,Optimal,0%,Complete,2222.115723,1094.273069,21,26.5,9.399999619,NA
Ca_151,Artec.Spider,AU12,Siliceous limestone,Tool,Flake,Maintenance,33-66%,Distal,5413.875,2490.122056,39.5,29.5,8.800000191,NA
Ca_152,Artec.Spider,AU12,Jasper,Core-Tool,Other,Other,33-66%,Other,11575.66895,3252.39316,21,30.20000076,42.40000153,Carinated
Ca_153,Artec.Spider,AU12,Jasper,Core-Tool,Other,Other,0%,Other,13036.79004,3628.614298,24.5,39.09999847,46.40000153,Carinated
Ca_154,Artec.Spider,AU12,Chert,Core-Tool,Other,Other,1-33%,Other,8960.771484,2642.2004,23.10000038,25.60000038,22.79999924,Carinated
Ca_155,Artec.Spider,AU12,Chert,Core-Tool,Flake,Optimal,0%,Complete,2322.587402,1115.36949,24,21.79999924,9.699999809,Carinated
Ca_156,Artec.Spider,AU12,Chert,Core-Tool,Other,Other,1-33%,Other,2462.423828,1119.727161,18.89999962,18.20000076,19.5,Carinated
Ca_157,Artec.Spider,AU12,Chert,Core-Tool,Flake,Semi-cortical,33-66%,Complete,2619.868408,1410.312073,12.69999981,19.5,12.60000038,Carinated
Ca_158,Artec.Spider,AU12,Chert,Tool,Flake,Optimal,0%,Complete,4144.159668,1605.494655,29.29999924,23.29999924,13.5,NA
Ca_159,Artec.Spider,AU12,Chert,Core-Tool,Flake,Undetermined,0%,Complete,2337.255371,1069.15383,12,23.60000038,23.39999962,Carinated
Ca_160,Artec.Spider,AU12,Jasper,Core-Tool,Flake,Semi-cortical,1-33%,Complete,4324.145996,1675.402398,31,26.60000038,14.30000019,Carinated
Ca_161,Artec.Spider,AU12,Chert,Core-Tool,Other,Other,33-66%,Other,3483.040771,1530.433362,30,24.70000076,11.39999962,Multi-platform
Ca_162,Artec.Spider,AU11,Chert,Tool,Blade,Optimal,0%,Complete,837.7981567,813.300498,30.5,14.10000038,4.300000191,NA
Ca_163,Artec.Spider,AU11,Chert,Tool,Blade,Optimal,0,Distal,3110.445068,1628.463724,37.40000153,24.89999962,10,NA
Ca_164,Artec.Spider,AU12,Chert,Tool,Blade,Optimal,0%,Complete,1887.519165,1889.500394,68.30000305,16.60000038,3.599999905,NA
Ca_165,Artec.Spider,AU12,Jasper,Tool,Flake,Optimal,0%,Complete,2575.018799,1513.413192,36,25.5,8.100000381,NA
Ca_166,Artec.Spider,AU13,Jasper,Tool,Blade,Optimal,0%,Distal,3569.992432,2399.151782,54.79999924,23.60000038,6.599999905,NA
Ca_167,Artec.Spider,AU13,Chert,Tool,Blade,Optimal,0%,Distal,1516.787476,1098.482779,35.70000076,14.60000038,4.800000191,NA
Ca_168,Artec.Spider,AU13,Chert,Tool,Blade,Optimal,0%,Proximal,2880.496826,1853.117954,44.5,22.60000038,5.900000095,NA
Ca_169,Artec.Spider,AU11,Chert,Tool,Blade,Maintenance,0%,Distal,3955.237061,2078.762299,50.29999924,20.20000076,7.400000095,NA
Ca_170,Artec.Spider,AU11,Jasper,Tool,Flake,Optimal,0%,Proximal,1288.262817,920.3571057,23.39999962,19.79999924,6.400000095,NA
Ca_171,Artec.Spider,AU11,Jasper,Tool,Flake,Optimal,0%,Complete,1958.586792,1231.76702,33,22.10000038,8.399999619,NA
Ca_172,Artec.Spider,AU11,Chert,Blank,Blade,Maintenance,33-66%,Mesial,4978.31543,2431.015036,49.59999847,24.29999924,10.60000038,NA
Ca_173,Artec.Spider,AU11,Chert,Tool,Blade,Optimal,0%,Mesial,1727.556152,1314.22107,35.09999847,17.79999924,5.300000191,NA
Ca_177,Artec.Spider,AU12,Jasper,Tool,Flake,Semi-cortical,1-33%,Complete,5401.664551,2242.365902,45.79999924,26.5,10.10000038,NA
Ca_178,Artec.Spider,AU12,Jasper,Tool,Flake,Semi-cortical,1-33%,Distal,2354.558838,1477.911417,32,25.60000038,6,NA
Ca_182,Artec.Spider,AU10,Jasper,Tool,Blade,Optimal,0%,Undetermined,892.2716675,752.0554275,31.70000076,12,5.800000191,NA
Ca_183,Artec.Spider,AU10,Chert,Tool,Flake,Maintenance,0%,Complete,2279.400146,1229.011794,34,20.29999924,7.900000095,NA
Ca_188,Artec.Spider,AU10,Quartzite,Tool,Flake,Optimal,0%,Proximal,587.7836914,601.1202109,17.5,19.60000038,4.599999905,NA
Ca_191,Artec.Spider,AU12,Limestone,Core,Other,Other,100%,Other,32531.86133,6488.72074,67.30000305,48.79999924,19.10000038,Tested
Ca_192,Artec.Spider,AU12,Jasper,Core,Other,Other,66-99%,Other,73402.58594,11378.64055,44,39,94,Tested
Ca_194,Artec.Spider,AU12,Chert,Tool,Blade,Optimal,0%,Proximal,1124.935791,1050.161707,34,21.20000076,3.299999952,NA
