ID,Site,Layer,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
Ca_361,Cala,AU13,Chert,Core-Tool,Other,Other,Carinated,0%,Other,7424.905762,2346.564878,30.60000038,19.5,29.29999924,Ca_361.ply,1 unit = 1mm,600000,0.101658,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_362,Cala,AU12,Chert,Core-Tool,Flake,Semi-cortical,Carinated,33-66%,Undetermined,4944.375,1943.378484,30.5,14,33.90000153,Ca_362.ply,1 unit = 1mm,528764,0.095479,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_363,Cala,AU11,Chert,Core-Tool,Other,Other,Carinated,1-33%,Other,4001.938477,1682.525827,16.20000076,22.10000038,27,Ca_363.ply,1 unit = 1mm,443298,0.10018,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_364,Cala,AU13,Chert,Core-Tool,Other,Other,Initial,1-33%,Other,18557.53125,4487.518901,22.60000038,36.29999924,23,Ca_364.ply,1 unit = 1mm,600000,0.138506,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_369,Cala,AU12,Chert,Tool,Blade,Optimal,NA,0%,Complete,2055.752197,1331.209903,41.5,16.79999924,6.400000095,Ca_369.ply,1 unit = 1mm,358420,0.09563,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_37,Cala,AU12,Unknown,Tool,Flake,Optimal,NA,0%,Distal,2441.075684,1268.504242,28,19.89999962,9.199999809,Ca_37.ply,1 unit = 1mm,300000,0.105247,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_370,Cala,AU11,Chert,Tool,Blade,Semi-cortical,NA,33-66%,Complete,1557.987915,1105.517369,40.20000076,12.10000038,6.900000095,Ca_370.ply,1 unit = 1mm,279170,0.101647,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_371,Cala,AU11,Jasper,Tool,Flake,Maintenance,NA,0%,Complete,2591.940918,1428.406362,39,20.60000038,8.699999809,Ca_371.ply,1 unit = 1mm,383410,0.096043,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_372,Cala,AU13,Jasper,Tool,Other,Other,NA,66-99%,Other,33811.83203,6990.253322,66.5,53.59999847,18.20000076,Ca_372.ply,1 unit = 1mm,599968,0.173578,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_373,Cala,AU13,Chert,Tool,Flake,Semi-cortical,NA,1-33%,Complete,11304.70508,4267.81888,67.09999847,34.20000076,12.69999981,Ca_373.ply,1 unit = 1mm,597932,0.135178,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_374,Cala,AU11,Chert,Blank,Flake,Optimal,NA,0%,Complete,3754.79126,2849.984694,44.29999924,36.59999847,5,Ca_374.ply,1 unit = 1mm,600000,0.110713,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_378,Cala,AU12,Jasper,Core,Other,Other,Bipolar,1-33%,Other,2118.713379,1262.542709,26,21.79999924,8.899999619,Ca_378.ply,1 unit = 1mm,326482,0.100807,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
