"ID","Scanner","Layer","Raw_material","Class","Blank","Technology","Cortex","Preservation","Volume","Surface","Length","Width","Thickness","Core_classification"
"RB_1061","Artec.Spider","A1","Chert","Core","Other","Other","0%","Other",3000.860596,1282.066706,16.2999992370605,19.8999996185303,15.3000001907349,"Shatter"
"RB_1070","Artec.Spider","A1","Chert","Tool","Flake","Optimal","0%","Complete",840.1862793,685.4427324,28.2999992370605,11.3000001907349,6.40000009536743,NA
"RB_1078","Artec.Spider","A1","Chert","Tool","Flake","Initialization","66-99%","Distal",9863.552734,3389.302067,42.9000015258789,19.8999996185303,3.90000009536743,NA
"RB_1079","Artec.Spider","A1","Chert","Core","Other","Semi-cortical","1-33%","Other",4431.58,1700.23,24.3999996185303,18.1000003814697,28,"Narrow-sided"
"RB_1084","Artec.Spider","A1","Chert","Tool","Blade","Optimal","0%","Distal",1243.983154,831.5137241,25.2000007629395,15.1999998092651,7.30000019073486,NA
"RB_1086","Artec.Spider","A1","Chert","Core","Other","Semi-cortical","33-66%","Other",1084.336548,684.7452309,20.6000003814697,14.8000001907349,9.10000038146973,"Platform flake"
"RB_1145","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",23191.93164,5021.844905,36.2999992370605,39.2000007629395,37.7999992370605,"Multidirectional"
"RB_1146","Artec.Spider","A2","Chert","Core","Other","Semi-cortical","1-33%","Other",6020.734375,2130.822443,23,27.1000003814697,24.1000003814697,"Platform flake"
"RB_1147","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",17020.86328,4389.060032,21.3999996185303,38.5999984741211,47.7000007629395,"Platform flake"
"RB_1148","Artec.Spider","A2","Chert","Core","Flake","Semi-cortical","1-33%","Other",8385.614258,2719.984056,42.2000007629395,16.2000007629395,26.7999992370605,"Narrow-sided"
"RB_1149","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",13111.2373,3902.46089,57.0999984741211,32.7000007629395,20,"Multidirectional"
"RB_1150","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",8839.828125,2785.049959,36.4000015258789,26.7000007629395,23,"Multidirectional"
"RB_1151","Artec.Spider","A2","Chert","Core","Other","Semi-cortical","33-66%","Other",52072.61328,9842.397966,60,66.1999969482422,27.5,"Tested"
"RB_1152","Artec.Spider","A2","Chert","Core","Other","Semi-cortical","1-33%","Other",6907.495605,2457.686571,38,24,19,"Tested"
"RB_1156","Artec.Spider","A2","Chert","Core","Flake","Semi-cortical","33-66%","Other",6022.821777,2286.837925,23.7000007629395,38.5,13.1999998092651,"Platform flake"
"RB_1157","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",7343.620605,2315.260181,26,28,21.7000007629395,"Multidirectional"
"RB_1160","Artec.Spider","A2","Chert","Core","Flake","Initialization","100%","Complete",7928.59375,2856.99274,41.7000007629395,39.2000007629395,14.1999998092651,"Platform flake"
"RB_1162","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",4909.080566,2119.379724,27,28.3999996185303,13.3000001907349,"Shatter"
"RB_1164","Artec.Spider","A2","Jasper","Core","Undetermined","Undetermined","0%","Undetermined",1131.302002,656.205167,17.6000003814697,9,18.2000007629395,"Bipolar"
"RB_1168","Artec.Spider","A2","Chert","Tool","Flake","Semi-cortical","33-66%","Proximal",3547.093506,1673.137811,29.1000003814697,28.7999992370605,13.1000003814697,NA
"RB_1183","Artec.Spider","A2","Chert","Tool","Other","Other","0%","Other",805.6209106,578.4245842,20.5,6.40000009536743,12.1000003814697,NA
"RB_1247","Artec.Spider","A0","Chert","Core","Other","Semi-cortical","33-66%","Other",4749.35498,1787.334134,19,29.2000007629395,24.7999992370605,"Initial flake"
"RB_1249","Artec.Spider","A0","Chert","Core","Other","Other","0%","Other",1277.501831,745.9641015,13.6999998092651,17.7999992370605,17.8999996185303,"Shatter laminar"
"RB_1258","Artec.Spider","A0","Jasper","Core","Other","Other","0%","Other",684.1730957,513.4398237,18.5,11,12.3999996185303,"Bipolar"
